"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"ADCH";"";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";
"ADCL";"";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";
"C1";"";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";
"C2";"";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";
"COMMUNICATION";"";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";
"D1";"PMLL4150";"PMLL4150";"SOD80C";"DIODE";"";"";"";"";
"D2";"PMLL4150";"PMLL4150";"SOD80C";"DIODE";"";"";"";"";
"D3";"PMLL4150";"PMLL4150";"SOD80C";"DIODE";"";"";"";"";
"D4";"PMLL4150";"PMLL4150";"SOD80C";"DIODE";"";"";"";"";
"D5";"PMLL4150";"PMLL4150";"SOD80C";"DIODE";"";"";"";"";
"D6";"PMLL4150";"PMLL4150";"SOD80C";"DIODE";"";"";"";"";
"D7";"PMLL4150";"PMLL4150";"SOD80C";"DIODE";"";"";"";"";
"D8";"PMLL4150";"PMLL4150";"SOD80C";"DIODE";"";"";"";"";
"IC1";"L293D";"L293D";"DIL16";"PUSH-PULL 4 CHANNEL DRIVER";"";"L293D";"9589619";"56P8249";
"JP1";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";
"JP2";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";
"JP3";"SERVO";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";
"JP4";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";
"JP6";"BLUETOOTH_MODUL";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";
"JP7";"UltraSonic_SenzoR";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";
"JP8";"ENCODERS";"PINHD-1X6";"1X06";"PIN HEADER";"";"";"";"";
"LED1";"";"LED";"SMARTLED-TTW";"LED";"";"";"";"";
"LED2";"";"LED";"SMARTLED-TTW";"LED";"";"";"";"";
"LED3";"";"LED";"SMARTLED-TTW";"LED";"";"";"";"";
"LED4";"";"LED";"SMARTLED-TTW";"LED";"";"";"";"";
"LED5";"";"LED";"SMARTLED-TTW";"LED";"";"";"";"";
"LED6";"";"LED";"SMARTLED-TTW";"LED";"";"";"";"";
"POWER";"";"PINHD-1X6";"1X06";"PIN HEADER";"";"";"";"";
"PWMH";"";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";
"PWML";"";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";
"R1";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";
"R2";"20k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";
"R3";"350";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";
"R4";"350";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";
"R5";"350";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";
"R6";"350";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";
"R7";"350";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";
"R8";"350";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";
"U$1";"7805";"7805";"TO-220";"";"";"";"";"";
"XIOH";"";"PINHD-2X8";"2X08";"PIN HEADER";"";"";"";"";
"XIOL";"";"PINHD-2X8";"2X08";"PIN HEADER";"";"";"";"";
